n,m,k0,initial_nodes,iteration,reciprocal_threshold,df,entropy,normalized_entropy,root_is_leader,filename
20,3,1,1,6,0.3333333333333333,0.9459053029269173,0.6931471805599452,0.3698161566543177,False,prices_model_n20_m3_k01_initial_nodes1_p0.33_iteration6
20,3,1,1,7,0.3333333333333333,0.9459053029269173,0.6931471805599452,0.3830345763217314,False,prices_model_n20_m3_k01_initial_nodes1_p0.33_iteration7
20,3,1,1,8,0.3333333333333333,0.9459053029269173,0.6931471805599452,0.3732928151765042,False,prices_model_n20_m3_k01_initial_nodes1_p0.33_iteration8
20,3,1,1,9,0.3333333333333333,0.9459053029269173,0.6931471805599452,0.3771466479587023,False,prices_model_n20_m3_k01_initial_nodes1_p0.33_iteration9
20,3,1,1,0,0.375,0.9459053029269173,0.6931471805599452,0.3848592650575246,False,prices_model_n20_m3_k01_initial_nodes1_p0.38_iteration0
20,3,1,1,1,0.375,0.9459053029269173,0.6931471805599452,0.38366450298414256,False,prices_model_n20_m3_k01_initial_nodes1_p0.38_iteration1
20,3,1,1,2,0.375,0.9459053029269173,0.6931471805599452,0.3775316473853269,False,prices_model_n20_m3_k01_initial_nodes1_p0.38_iteration2
20,3,1,1,3,0.375,0.9459053029269173,0.6931471805599452,0.3782213166028965,False,prices_model_n20_m3_k01_initial_nodes1_p0.38_iteration3
20,3,1,1,4,0.375,0.9459053029269173,0.6931471805599452,0.37237905062782123,False,prices_model_n20_m3_k01_initial_nodes1_p0.38_iteration4
20,3,1,1,5,0.375,0.9459053029269173,0.6931471805599452,0.3890207452927357,False,prices_model_n20_m3_k01_initial_nodes1_p0.38_iteration5
20,3,1,1,6,0.375,0.9459053029269173,0.6931471805599452,0.386819840257741,False,prices_model_n20_m3_k01_initial_nodes1_p0.38_iteration6
20,3,1,1,7,0.375,0.9459053029269173,0.6931471805599452,0.3848503619342405,False,prices_model_n20_m3_k01_initial_nodes1_p0.38_iteration7
20,3,1,1,8,0.375,0.9459053029269173,0.6931471805599452,0.3870553085787893,False,prices_model_n20_m3_k01_initial_nodes1_p0.38_iteration8
20,3,1,1,9,0.375,0.9459053029269173,0.6931471805599452,0.37842525046663694,False,prices_model_n20_m3_k01_initial_nodes1_p0.38_iteration9
